reference,gene,annotation,Strain,Genomospecies,Clade
GED7760B_00248,rplU,50S ribosomal protein L21,GED7760B,GS11,C2
GED7760B_00310,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,GED7760B,GS11,C2
GED7760B_00320,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",GED7760B,GS11,C2
GED7760B_00324,efp,Elongation factor P,GED7760B,GS11,C2
GED7760B_00336,pgk,Phosphoglycerate kinase,GED7760B,GS11,C2
GED7760B_00340,tal,Transaldolase,GED7760B,GS11,C2
GED7760B_00341,tkt,Transketolase,GED7760B,GS11,C2
GED7760B_00347,ppgK,Polyphosphate glucokinase,GED7760B,GS11,C2
GED7760B_00357,rpsB,30S ribosomal protein S2,GED7760B,GS11,C2
GED7760B_00374,frr,Ribosome-recycling factor,GED7760B,GS11,C2
GED7760B_00399,der,GTPase Der,GED7760B,GS11,C2
GED7760B_00410,group_2483,putative transcriptional regulatory protein,GED7760B,GS11,C2
GED7760B_00441,groL1,60 kDa chaperonin 1,GED7760B,GS11,C2
GED7760B_00454,hup,DNA-binding protein HB1,GED7760B,GS11,C2
GED7760B_00472,lepA,Elongation factor 4,GED7760B,GS11,C2
GED7760B_00473,rpsT,30S ribosomal protein S20,GED7760B,GS11,C2
GED7760B_00489,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,GED7760B,GS11,C2
GED7760B_00503,groS,10 kDa chaperonin,GED7760B,GS11,C2
GED7760B_00524,rplC,50S ribosomal protein L3,GED7760B,GS11,C2
GED7760B_00526,rplW,50S ribosomal protein L23,GED7760B,GS11,C2
GED7760B_00531,rplP,50S ribosomal protein L16,GED7760B,GS11,C2
GED7760B_00532,rpmC,50S ribosomal protein L29,GED7760B,GS11,C2
GED7760B_00538,rpsH,30S ribosomal protein S8,GED7760B,GS11,C2
GED7760B_00546,infA,Translation initiation factor IF-1,GED7760B,GS11,C2
GED7760B_00547,rpsM,30S ribosomal protein S13,GED7760B,GS11,C2
GED7760B_00549,rpoA,DNA-directed RNA polymerase subunit alpha,GED7760B,GS11,C2
GED7760B_00569,rpiA,Ribose-5-phosphate isomerase A,GED7760B,GS11,C2
GED7760B_00571,pgm,Phosphoglucomutase,GED7760B,GS11,C2
GED7760B_00652,pyk,Pyruvate kinase,GED7760B,GS11,C2
GED7760B_00710,ppc,Phosphoenolpyruvate carboxylase,GED7760B,GS11,C2
GED7760B_00768,upp,Uracil phosphoribosyltransferase,GED7760B,GS11,C2
GED7760B_00801,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,GED7760B,GS11,C2
GED7760B_00802,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,GED7760B,GS11,C2
GED7760B_00803,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,GED7760B,GS11,C2
GED7760B_00827,atpA,ATP synthase subunit alpha,GED7760B,GS11,C2
GED7760B_00828,atpG,ATP synthase gamma chain,GED7760B,GS11,C2
GED7760B_00829,atpD_2,ATP synthase subunit beta,GED7760B,GS11,C2
GED7760B_00853,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,GED7760B,GS11,C2
GED7760B_00857,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",GED7760B,GS11,C2
GED7760B_00862,ppa,Inorganic pyrophosphatase,GED7760B,GS11,C2
GED7760B_00867,valS,Valine--tRNA ligase,GED7760B,GS11,C2
GED7760B_00883,rpsO,30S ribosomal protein S15,GED7760B,GS11,C2
GED7760B_00911,serS,Serine--tRNA ligase,GED7760B,GS11,C2
GED7760B_00916,rplS,50S ribosomal protein L19,GED7760B,GS11,C2
GED7760B_00920,pgi,Glucose-6-phosphate isomerase,GED7760B,GS11,C2
GED7760B_00942,rplT,50S ribosomal protein L20,GED7760B,GS11,C2
GED7760B_00943,rpmI,50S ribosomal protein L35,GED7760B,GS11,C2
GED7760B_00946,gap,Glyceraldehyde-3-phosphate dehydrogenase,GED7760B,GS11,C2
GED7760B_00963,rplA,50S ribosomal protein L1,GED7760B,GS11,C2
GED7760B_00964,rplK,50S ribosomal protein L11,GED7760B,GS11,C2
GED7760B_00966,rplJ,50S ribosomal protein L10,GED7760B,GS11,C2
GED7760B_00968,pstB1,Phosphate import ATP-binding protein PstB 1,GED7760B,GS11,C2
GED7760B_00996,rpmE,50S ribosomal protein L31,GED7760B,GS11,C2
GED7760B_01001,guaB,Inosine-5'-monophosphate dehydrogenase,GED7760B,GS11,C2
GED7760B_01009,map,Methionine aminopeptidase 1,GED7760B,GS11,C2
GED7760B_01010,prfB,Peptide chain release factor 2,GED7760B,GS11,C2
GED7760B_01035,nrdD,Anaerobic ribonucleoside-triphosphate reductase,GED7760B,GS11,C2
GED7760B_01071,rpsG,30S ribosomal protein S7,GED7760B,GS11,C2
GED7760B_01072,fusA,Elongation factor G,GED7760B,GS11,C2
GED7760B_01100,glyQS,Glycine--tRNA ligase,GED7760B,GS11,C2
GED7760B_01116,ldh2,L-lactate dehydrogenase 2,GED7760B,GS11,C2
GED7760B_01125,lysS1,Lysine--tRNA ligase 1,GED7760B,GS11,C2
GED7760B_01163,guaA,GMP synthase [glutamine-hydrolyzing],GED7760B,GS11,C2
KA00225_00010,pgi,Glucose-6-phosphate isomerase,KA00225,GS13,C6
KA00225_00015,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,KA00225,GS13,C6
KA00225_00076,ychF,Ribosome-binding ATPase YchF,KA00225,GS13,C6
KA00225_00090,eno,Enolase,KA00225,GS13,C6
KA00225_00140,pflB,Formate acetyltransferase 1,KA00225,GS13,C6
KA00225_00170,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",KA00225,GS13,C6
KA00225_00173,efp,Elongation factor P,KA00225,GS13,C6
KA00225_00185,pgk,Phosphoglycerate kinase,KA00225,GS13,C6
KA00225_00194,tal,Transaldolase,KA00225,GS13,C6
KA00225_00195,tkt,Transketolase,KA00225,GS13,C6
KA00225_00201,hup,DNA-binding protein HB1,KA00225,GS13,C6
KA00225_00213,groL1,60 kDa chaperonin 1,KA00225,GS13,C6
KA00225_00272,frr,Ribosome-recycling factor,KA00225,GS13,C6
KA00225_00275,rpsB,30S ribosomal protein S2,KA00225,GS13,C6
KA00225_00286,ppgK,Polyphosphate glucokinase,KA00225,GS13,C6
KA00225_00349,rpiA,Ribose-5-phosphate isomerase A,KA00225,GS13,C6
KA00225_00372,dapL,LL-diaminopimelate aminotransferase,KA00225,GS13,C6
KA00225_00405,ppc,Phosphoenolpyruvate carboxylase,KA00225,GS13,C6
KA00225_00475,upp,Uracil phosphoribosyltransferase,KA00225,GS13,C6
KA00225_00524,atpA,ATP synthase subunit alpha,KA00225,GS13,C6
KA00225_00525,atpG,ATP synthase gamma chain,KA00225,GS13,C6
KA00225_00526,atpD_2,ATP synthase subunit beta,KA00225,GS13,C6
KA00225_00539,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,KA00225,GS13,C6
KA00225_00540,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,KA00225,GS13,C6
KA00225_00541,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,KA00225,GS13,C6
KA00225_00590,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,KA00225,GS13,C6
KA00225_00594,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",KA00225,GS13,C6
KA00225_00599,ppa,Inorganic pyrophosphatase,KA00225,GS13,C6
KA00225_00604,valS,Valine--tRNA ligase,KA00225,GS13,C6
KA00225_00625,rpsO,30S ribosomal protein S15,KA00225,GS13,C6
KA00225_00638,pstB1,Phosphate import ATP-binding protein PstB 1,KA00225,GS13,C6
KA00225_00640,rplJ,50S ribosomal protein L10,KA00225,GS13,C6
KA00225_00651,groS,10 kDa chaperonin,KA00225,GS13,C6
KA00225_00666,rplC,50S ribosomal protein L3,KA00225,GS13,C6
KA00225_00668,rplW,50S ribosomal protein L23,KA00225,GS13,C6
KA00225_00673,rplP,50S ribosomal protein L16,KA00225,GS13,C6
KA00225_00674,rpmC,50S ribosomal protein L29,KA00225,GS13,C6
KA00225_00680,rpsH,30S ribosomal protein S8,KA00225,GS13,C6
KA00225_00688,infA,Translation initiation factor IF-1,KA00225,GS13,C6
KA00225_00689,rpsM,30S ribosomal protein S13,KA00225,GS13,C6
KA00225_00691,rpoA,DNA-directed RNA polymerase subunit alpha,KA00225,GS13,C6
KA00225_00698,rplS,50S ribosomal protein L19,KA00225,GS13,C6
KA00225_00756,rplU,50S ribosomal protein L21,KA00225,GS13,C6
KA00225_00791,pyrG,CTP synthase,KA00225,GS13,C6
KA00225_00805,rpoB,DNA-directed RNA polymerase subunit beta,KA00225,GS13,C6
KA00225_00812,serS,Serine--tRNA ligase,KA00225,GS13,C6
KA00225_00822,ldh2,L-lactate dehydrogenase 2,KA00225,GS13,C6
KA00225_00874,nrdD,Anaerobic ribonucleoside-triphosphate reductase,KA00225,GS13,C6
KA00225_00885,gap,Glyceraldehyde-3-phosphate dehydrogenase,KA00225,GS13,C6
KA00225_00888,rpmI,50S ribosomal protein L35,KA00225,GS13,C6
KA00225_00889,rplT,50S ribosomal protein L20,KA00225,GS13,C6
KA00225_00894,glyQS,Glycine--tRNA ligase,KA00225,GS13,C6
KA00225_00906,rpmE,50S ribosomal protein L31,KA00225,GS13,C6
KA00225_00911,guaB,Inosine-5'-monophosphate dehydrogenase,KA00225,GS13,C6
KA00225_00920,map,Methionine aminopeptidase 1,KA00225,GS13,C6
KA00225_00921,prfB,Peptide chain release factor 2,KA00225,GS13,C6
KA00225_01007,rpsG,30S ribosomal protein S7,KA00225,GS13,C6
KA00225_01008,fusA,Elongation factor G,KA00225,GS13,C6
KA00225_01015,pgm,Phosphoglucomutase,KA00225,GS13,C6
KA00225_01031,lysS1,Lysine--tRNA ligase 1,KA00225,GS13,C6
KA00225_01106,rpsT,30S ribosomal protein S20,KA00225,GS13,C6
KA00225_01107,lepA,Elongation factor 4,KA00225,GS13,C6
KA00225_01128,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,KA00225,GS13,C6
KA00225_01140,thrS,Threonine--tRNA ligase,KA00225,GS13,C6
KA00225_01142,group_2483,putative transcriptional regulatory protein,KA00225,GS13,C6
KA00225_01153,der,GTPase Der,KA00225,GS13,C6
KA00225_01196,rplK,50S ribosomal protein L11,KA00225,GS13,C6
KA00225_01197,rplA,50S ribosomal protein L1,KA00225,GS13,C6
KA00225_01237,pyk,Pyruvate kinase,KA00225,GS13,C6
KA00225_01265,guaA,GMP synthase [glutamine-hydrolyzing],KA00225,GS13,C6
KA00735_00038,dapL,LL-diaminopimelate aminotransferase,KA00735,GS12,C5
KA00735_00124,rpoB,DNA-directed RNA polymerase subunit beta,KA00735,GS12,C5
KA00735_00129,serS,Serine--tRNA ligase,KA00735,GS12,C5
KA00735_00154,pyrG,CTP synthase,KA00735,GS12,C5
KA00735_00182,rpiA,Ribose-5-phosphate isomerase A,KA00735,GS12,C5
KA00735_00185,pgm,Phosphoglucomutase,KA00735,GS12,C5
KA00735_00235,rpsG,30S ribosomal protein S7,KA00735,GS12,C5
KA00735_00236,fusA,Elongation factor G,KA00735,GS12,C5
KA00735_00246,nrdD,Anaerobic ribonucleoside-triphosphate reductase,KA00735,GS12,C5
KA00735_00256,gap,Glyceraldehyde-3-phosphate dehydrogenase,KA00735,GS12,C5
KA00735_00259,rpmI,50S ribosomal protein L35,KA00735,GS12,C5
KA00735_00260,rplT,50S ribosomal protein L20,KA00735,GS12,C5
KA00735_00266,glyQS,Glycine--tRNA ligase,KA00735,GS12,C5
KA00735_00277,rpmE,50S ribosomal protein L31,KA00735,GS12,C5
KA00735_00282,guaB,Inosine-5'-monophosphate dehydrogenase,KA00735,GS12,C5
KA00735_00289,map,Methionine aminopeptidase 1,KA00735,GS12,C5
KA00735_00290,prfB,Peptide chain release factor 2,KA00735,GS12,C5
KA00735_00313,pyk,Pyruvate kinase,KA00735,GS12,C5
KA00735_00344,guaA,GMP synthase [glutamine-hydrolyzing],KA00735,GS12,C5
KA00735_00360,ychF,Ribosome-binding ATPase YchF,KA00735,GS12,C5
KA00735_00393,rpsT,30S ribosomal protein S20,KA00735,GS12,C5
KA00735_00394,lepA,Elongation factor 4,KA00735,GS12,C5
KA00735_00415,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,KA00735,GS12,C5
KA00735_00432,thrS,Threonine--tRNA ligase,KA00735,GS12,C5
KA00735_00434,group_2483,putative transcriptional regulatory protein,KA00735,GS12,C5
KA00735_00445,der,GTPase Der,KA00735,GS12,C5
KA00735_00453,ppgK,Polyphosphate glucokinase,KA00735,GS12,C5
KA00735_00486,frr,Ribosome-recycling factor,KA00735,GS12,C5
KA00735_00489,rpsB,30S ribosomal protein S2,KA00735,GS12,C5
KA00735_00507,groL1,60 kDa chaperonin 1,KA00735,GS12,C5
KA00735_00520,hup,DNA-binding protein HB1,KA00735,GS12,C5
KA00735_00526,tkt,Transketolase,KA00735,GS12,C5
KA00735_00527,tal,Transaldolase,KA00735,GS12,C5
KA00735_00531,pgk,Phosphoglycerate kinase,KA00735,GS12,C5
KA00735_00543,efp,Elongation factor P,KA00735,GS12,C5
KA00735_00546,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",KA00735,GS12,C5
KA00735_00575,pflB,Formate acetyltransferase 1,KA00735,GS12,C5
KA00735_00613,eno,Enolase,KA00735,GS12,C5
KA00735_00646,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,KA00735,GS12,C5
KA00735_00651,pgi,Glucose-6-phosphate isomerase,KA00735,GS12,C5
KA00735_00664,ldh2,L-lactate dehydrogenase 2,KA00735,GS12,C5
KA00735_00857,ppc,Phosphoenolpyruvate carboxylase,KA00735,GS12,C5
KA00735_00926,upp,Uracil phosphoribosyltransferase,KA00735,GS12,C5
KA00735_00956,atpA,ATP synthase subunit alpha,KA00735,GS12,C5
KA00735_00957,atpG,ATP synthase gamma chain,KA00735,GS12,C5
KA00735_00958,atpD_2,ATP synthase subunit beta,KA00735,GS12,C5
KA00735_00966,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,KA00735,GS12,C5
KA00735_00967,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,KA00735,GS12,C5
KA00735_00968,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,KA00735,GS12,C5
KA00735_01021,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,KA00735,GS12,C5
KA00735_01025,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",KA00735,GS12,C5
KA00735_01030,ppa,Inorganic pyrophosphatase,KA00735,GS12,C5
KA00735_01035,valS,Valine--tRNA ligase,KA00735,GS12,C5
KA00735_01071,rplU,50S ribosomal protein L21,KA00735,GS12,C5
KA00735_01079,rplK,50S ribosomal protein L11,KA00735,GS12,C5
KA00735_01080,rplA,50S ribosomal protein L1,KA00735,GS12,C5
KA00735_01084,rpsO,30S ribosomal protein S15,KA00735,GS12,C5
KA00735_01095,pstB1,Phosphate import ATP-binding protein PstB 1,KA00735,GS12,C5
KA00735_01099,rplJ,50S ribosomal protein L10,KA00735,GS12,C5
KA00735_01110,groS,10 kDa chaperonin,KA00735,GS12,C5
KA00735_01127,rplC,50S ribosomal protein L3,KA00735,GS12,C5
KA00735_01129,rplW,50S ribosomal protein L23,KA00735,GS12,C5
KA00735_01134,rplP,50S ribosomal protein L16,KA00735,GS12,C5
KA00735_01135,rpmC,50S ribosomal protein L29,KA00735,GS12,C5
KA00735_01141,rpsH,30S ribosomal protein S8,KA00735,GS12,C5
KA00735_01149,infA,Translation initiation factor IF-1,KA00735,GS12,C5
KA00735_01150,rpsM,30S ribosomal protein S13,KA00735,GS12,C5
KA00735_01152,rpoA,DNA-directed RNA polymerase subunit alpha,KA00735,GS12,C5
KA00735_01170,rplS,50S ribosomal protein L19,KA00735,GS12,C5
KA00735_01202,lysS1,Lysine--tRNA ligase 1,KA00735,GS12,C5
N101_00042,ppc,Phosphoenolpyruvate carboxylase,N101,GS3,C2
N101_00102,upp,Uracil phosphoribosyltransferase,N101,GS3,C2
N101_00136,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,N101,GS3,C2
N101_00137,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,N101,GS3,C2
N101_00138,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,N101,GS3,C2
N101_00162,atpA,ATP synthase subunit alpha,N101,GS3,C2
N101_00163,atpG,ATP synthase gamma chain,N101,GS3,C2
N101_00164,atpD_2,ATP synthase subunit beta,N101,GS3,C2
N101_00192,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,N101,GS3,C2
N101_00196,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",N101,GS3,C2
N101_00201,ppa,Inorganic pyrophosphatase,N101,GS3,C2
N101_00206,valS,Valine--tRNA ligase,N101,GS3,C2
N101_00223,rpsO,30S ribosomal protein S15,N101,GS3,C2
N101_00236,pstB1,Phosphate import ATP-binding protein PstB 1,N101,GS3,C2
N101_00238,rplJ,50S ribosomal protein L10,N101,GS3,C2
N101_00240,rplK,50S ribosomal protein L11,N101,GS3,C2
N101_00241,rplA,50S ribosomal protein L1,N101,GS3,C2
N101_00252,groS,10 kDa chaperonin,N101,GS3,C2
N101_00273,rplC,50S ribosomal protein L3,N101,GS3,C2
N101_00275,rplW,50S ribosomal protein L23,N101,GS3,C2
N101_00280,rplP,50S ribosomal protein L16,N101,GS3,C2
N101_00281,rpmC,50S ribosomal protein L29,N101,GS3,C2
N101_00287,rpsH,30S ribosomal protein S8,N101,GS3,C2
N101_00295,infA,Translation initiation factor IF-1,N101,GS3,C2
N101_00296,rpsM,30S ribosomal protein S13,N101,GS3,C2
N101_00298,rpoA,DNA-directed RNA polymerase subunit alpha,N101,GS3,C2
N101_00318,rpiA,Ribose-5-phosphate isomerase A,N101,GS3,C2
N101_00320,pgm,Phosphoglucomutase,N101,GS3,C2
N101_00333,pgi,Glucose-6-phosphate isomerase,N101,GS3,C2
N101_00337,rplS,50S ribosomal protein L19,N101,GS3,C2
N101_00342,serS,Serine--tRNA ligase,N101,GS3,C2
N101_00431,pyrG,CTP synthase,N101,GS3,C2
N101_00553,pflB,Formate acetyltransferase 1,N101,GS3,C2
N101_00581,thrS,Threonine--tRNA ligase,N101,GS3,C2
N101_00595,ychF,Ribosome-binding ATPase YchF,N101,GS3,C2
N101_00608,eno,Enolase,N101,GS3,C2
N101_00636,rplU,50S ribosomal protein L21,N101,GS3,C2
N101_00672,rpoB,DNA-directed RNA polymerase subunit beta,N101,GS3,C2
N101_00690,gap,Glyceraldehyde-3-phosphate dehydrogenase,N101,GS3,C2
N101_00693,rpmI,50S ribosomal protein L35,N101,GS3,C2
N101_00694,rplT,50S ribosomal protein L20,N101,GS3,C2
N101_00712,nrdD,Anaerobic ribonucleoside-triphosphate reductase,N101,GS3,C2
N101_00744,rpsG,30S ribosomal protein S7,N101,GS3,C2
N101_00745,fusA,Elongation factor G,N101,GS3,C2
N101_00777,glyQS,Glycine--tRNA ligase,N101,GS3,C2
N101_00796,ldh2,L-lactate dehydrogenase 2,N101,GS3,C2
N101_00804,lysS1,Lysine--tRNA ligase 1,N101,GS3,C2
N101_00846,guaA,GMP synthase [glutamine-hydrolyzing],N101,GS3,C2
N101_00893,pyk,Pyruvate kinase,N101,GS3,C2
N101_00918,rpmE,50S ribosomal protein L31,N101,GS3,C2
N101_00923,guaB,Inosine-5'-monophosphate dehydrogenase,N101,GS3,C2
N101_00933,map,Methionine aminopeptidase 1,N101,GS3,C2
N101_00934,prfB,Peptide chain release factor 2,N101,GS3,C2
N101_00947,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,N101,GS3,C2
N101_00963,rpsT,30S ribosomal protein S20,N101,GS3,C2
N101_00964,lepA,Elongation factor 4,N101,GS3,C2
N101_00973,hup,DNA-binding protein HB1,N101,GS3,C2
N101_00986,groL1,60 kDa chaperonin 1,N101,GS3,C2
N101_01017,group_2483,putative transcriptional regulatory protein,N101,GS3,C2
N101_01028,der,GTPase Der,N101,GS3,C2
N101_01040,rpsB,30S ribosomal protein S2,N101,GS3,C2
N101_01057,frr,Ribosome-recycling factor,N101,GS3,C2
N101_01078,ppgK,Polyphosphate glucokinase,N101,GS3,C2
N101_01084,tkt,Transketolase,N101,GS3,C2
N101_01085,tal,Transaldolase,N101,GS3,C2
N101_01100,pgk,Phosphoglycerate kinase,N101,GS3,C2
N101_01112,efp,Elongation factor P,N101,GS3,C2
N101_01116,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",N101,GS3,C2
N101_01128,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,N101,GS3,C2
N101_01202,dapL,LL-diaminopimelate aminotransferase,N101,GS3,C2
NR010_00037,ldh2,L-lactate dehydrogenase 2,NR010,GS14,C3
NR010_00065,pyk,Pyruvate kinase,NR010,GS14,C3
NR010_00089,guaA,GMP synthase [glutamine-hydrolyzing],NR010,GS14,C3
NR010_00104,ychF,Ribosome-binding ATPase YchF,NR010,GS14,C3
NR010_00122,eno,Enolase,NR010,GS14,C3
NR010_00173,hup,DNA-binding protein HB1,NR010,GS14,C3
NR010_00185,groL1,60 kDa chaperonin 1,NR010,GS14,C3
NR010_00242,frr,Ribosome-recycling factor,NR010,GS14,C3
NR010_00245,rpsB,30S ribosomal protein S2,NR010,GS14,C3
NR010_00255,ppgK,Polyphosphate glucokinase,NR010,GS14,C3
NR010_00262,der,GTPase Der,NR010,GS14,C3
NR010_00273,group_2483,putative transcriptional regulatory protein,NR010,GS14,C3
NR010_00275,thrS,Threonine--tRNA ligase,NR010,GS14,C3
NR010_00289,lepA,Elongation factor 4,NR010,GS14,C3
NR010_00290,rpsT,30S ribosomal protein S20,NR010,GS14,C3
NR010_00314,pflB,Formate acetyltransferase 1,NR010,GS14,C3
NR010_00327,tkt,Transketolase,NR010,GS14,C3
NR010_00328,tal,Transaldolase,NR010,GS14,C3
NR010_00333,pgk,Phosphoglycerate kinase,NR010,GS14,C3
NR010_00345,efp,Elongation factor P,NR010,GS14,C3
NR010_00348,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",NR010,GS14,C3
NR010_00360,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,NR010,GS14,C3
NR010_00427,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,NR010,GS14,C3
NR010_00442,prfB,Peptide chain release factor 2,NR010,GS14,C3
NR010_00443,map,Methionine aminopeptidase 1,NR010,GS14,C3
NR010_00450,guaB,Inosine-5'-monophosphate dehydrogenase,NR010,GS14,C3
NR010_00455,rpmE,50S ribosomal protein L31,NR010,GS14,C3
NR010_00463,fusA,Elongation factor G,NR010,GS14,C3
NR010_00464,rpsG,30S ribosomal protein S7,NR010,GS14,C3
NR010_00491,nrdD,Anaerobic ribonucleoside-triphosphate reductase,NR010,GS14,C3
NR010_00518,rpoB,DNA-directed RNA polymerase subunit beta,NR010,GS14,C3
NR010_00576,lysS1,Lysine--tRNA ligase 1,NR010,GS14,C3
NR010_00595,rplA,50S ribosomal protein L1,NR010,GS14,C3
NR010_00596,rplK,50S ribosomal protein L11,NR010,GS14,C3
NR010_00618,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,NR010,GS14,C3
NR010_00619,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,NR010,GS14,C3
NR010_00620,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,NR010,GS14,C3
NR010_00660,atpA,ATP synthase subunit alpha,NR010,GS14,C3
NR010_00661,atpG,ATP synthase gamma chain,NR010,GS14,C3
NR010_00662,atpD_2,ATP synthase subunit beta,NR010,GS14,C3
NR010_00695,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,NR010,GS14,C3
NR010_00699,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",NR010,GS14,C3
NR010_00704,ppa,Inorganic pyrophosphatase,NR010,GS14,C3
NR010_00709,valS,Valine--tRNA ligase,NR010,GS14,C3
NR010_00727,rpsO,30S ribosomal protein S15,NR010,GS14,C3
NR010_00740,pstB1,Phosphate import ATP-binding protein PstB 1,NR010,GS14,C3
NR010_00742,rplJ,50S ribosomal protein L10,NR010,GS14,C3
NR010_00753,groS,10 kDa chaperonin,NR010,GS14,C3
NR010_00773,rplC,50S ribosomal protein L3,NR010,GS14,C3
NR010_00775,rplW,50S ribosomal protein L23,NR010,GS14,C3
NR010_00780,rplP,50S ribosomal protein L16,NR010,GS14,C3
NR010_00781,rpmC,50S ribosomal protein L29,NR010,GS14,C3
NR010_00787,rpsH,30S ribosomal protein S8,NR010,GS14,C3
NR010_00795,infA,Translation initiation factor IF-1,NR010,GS14,C3
NR010_00796,rpsM,30S ribosomal protein S13,NR010,GS14,C3
NR010_00798,rpoA,DNA-directed RNA polymerase subunit alpha,NR010,GS14,C3
NR010_00816,rpiA,Ribose-5-phosphate isomerase A,NR010,GS14,C3
NR010_00818,pgm,Phosphoglucomutase,NR010,GS14,C3
NR010_00849,rplT,50S ribosomal protein L20,NR010,GS14,C3
NR010_00850,rpmI,50S ribosomal protein L35,NR010,GS14,C3
NR010_00853,gap,Glyceraldehyde-3-phosphate dehydrogenase,NR010,GS14,C3
NR010_00868,glyQS,Glycine--tRNA ligase,NR010,GS14,C3
NR010_00955,rplU,50S ribosomal protein L21,NR010,GS14,C3
NR010_01028,ppc,Phosphoenolpyruvate carboxylase,NR010,GS14,C3
NR010_01049,pgi,Glucose-6-phosphate isomerase,NR010,GS14,C3
NR010_01053,rplS,50S ribosomal protein L19,NR010,GS14,C3
NR010_01062,serS,Serine--tRNA ligase,NR010,GS14,C3
NR010_01083,pyrG,CTP synthase,NR010,GS14,C3
NR010_01238,dapL,LL-diaminopimelate aminotransferase,NR010,GS14,C3
NR010_01253,upp,Uracil phosphoribosyltransferase,NR010,GS14,C3
PSS_7772B_00012,pgi,Glucose-6-phosphate isomerase,PSS_7772B,GS7,C3
PSS_7772B_00016,rplS,50S ribosomal protein L19,PSS_7772B,GS7,C3
PSS_7772B_00025,serS,Serine--tRNA ligase,PSS_7772B,GS7,C3
PSS_7772B_00094,ppc,Phosphoenolpyruvate carboxylase,PSS_7772B,GS7,C3
PSS_7772B_00166,upp,Uracil phosphoribosyltransferase,PSS_7772B,GS7,C3
PSS_7772B_00187,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,PSS_7772B,GS7,C3
PSS_7772B_00188,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,PSS_7772B,GS7,C3
PSS_7772B_00189,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,PSS_7772B,GS7,C3
PSS_7772B_00228,lysS1,Lysine--tRNA ligase 1,PSS_7772B,GS7,C3
PSS_7772B_00269,rpsO,30S ribosomal protein S15,PSS_7772B,GS7,C3
PSS_7772B_00283,pstB1,Phosphate import ATP-binding protein PstB 1,PSS_7772B,GS7,C3
PSS_7772B_00285,rplJ,50S ribosomal protein L10,PSS_7772B,GS7,C3
PSS_7772B_00292,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,PSS_7772B,GS7,C3
PSS_7772B_00316,prfB,Peptide chain release factor 2,PSS_7772B,GS7,C3
PSS_7772B_00317,map,Methionine aminopeptidase 1,PSS_7772B,GS7,C3
PSS_7772B_00325,guaB,Inosine-5'-monophosphate dehydrogenase,PSS_7772B,GS7,C3
PSS_7772B_00330,rpmE,50S ribosomal protein L31,PSS_7772B,GS7,C3
